Secteur,Nom,Date création,Adresse,Code postal,Ville,Département,Téléphone,Email,Site web,SIREN,NAF
Soins de beauté / esthétique,CHOCO VANILLE - INSTITUT DE BEAUTE (CHOCO VANILLE - INSTITUT DE BEAUTE),2017-06-01,DUPARC 52 RUE LOUIS LAGOURGUE 97438 SAINTE-MARIE,97438,SAINTE-MARIE,974,,,,829691419,96.02B
"Entretien corporel (spa, hammam...)",JORIS CONQUET (MASSAGE SUEDOIS STRASBOURG PAR JORIS C.),2017-06-01,16 RUE EDMOND MICHELET 67100 STRASBOURG,67100,STRASBOURG,67,,,,829987973,96.04Z
Coiffure,LA BARBE DE PAPA OUEST,2017-05-17,BAT A 3 BOULEVARD DE CLAIRFONT 66350 TOULOUGES,66350,TOULOUGES,66,,,,829734961,96.02A
Coiffure,STAFF'HAIR (CAROLYN'COIFFURE),2017-03-14,4 RUE DE L'EGLISE 68850 STAFFELFELDEN,68850,STAFFELFELDEN,68,,,,828565549,96.02A
Coiffure,FERNANDO,2017-02-01,3 RUE DU MARCHE 02340 CHAOURSE,02340,CHAOURSE,02,,,,825376981,96.02A
Soins de beauté / esthétique,PARIS NAILS,2016-12-01,20 B BOULEVARD VOLTAIRE 75011 PARIS,75011,PARIS,75,,,,824205819,96.02B
"Entretien corporel (spa, hammam...)",PARADISE (PARADISE),2016-11-28,CHEZ BUSINESS SERVICE COMPANY BAL 3 420 CLOS DE LA COURTINE 93160 NOISY-LE-GRAND,93160,NOISY-LE-GRAND,93,,,,824069207,96.04Z
"Entretien corporel (spa, hammam...)",SUKANYA (SUKANYA),2016-11-25,26 AVENUE DE LA REINE VICTORIA 64200 BIARRITZ,64200,BIARRITZ,64,,,,823956727,96.04Z
Soins de beauté / esthétique,MJB,2016-11-09,14 RUE FRANCOIS GUISOL 06300 NICE,06300,NICE,06,,,,823676788,96.02B
Soins de beauté / esthétique,L'ATELIER VERNIS,2016-11-02,12 RUE DE LA DIME 13910 MAILLANE,13910,MAILLANE,13,,,,823513320,96.02B
Soins de beauté / esthétique,ISABELLE BEAUTE,2016-09-26,3 AVENUE DU MARECHAL VILLARS 77300 FONTAINEBLEAU,77300,FONTAINEBLEAU,77,,,,822746962,96.02B
Coiffure,MAXETCOMPAGNIE,2016-09-15,PLACE ALEXANDRE MAUDUIT 14320 SAINT-ANDRE-SUR-ORNE,14320,SAINT-ANDRE-SUR-ORNE,14,,,,822947149,96.02A
"Entretien corporel (spa, hammam...)",AMELIE POSAS,2016-09-01,127 CHEMIN DU CHALET 13126 VAUVENARGUES,13126,VAUVENARGUES,13,,,,851034595,96.04Z
Soins de beauté / esthétique,CELINE BIDAUX (QIPAO BEAUTY),2016-08-16,35 RUE GUILLAUME LE CONQUERANT 14000 CAEN,14000,CAEN,14,,,,821643145,96.02B
"Entretien corporel (spa, hammam...)",EVANESCENCE,2016-07-18,11 RUE HONORE PICON 33100 BORDEAUX,33100,BORDEAUX,33,,,,821746385,96.04Z
Soins de beauté / esthétique,CENTRE WETTA (CENTRE WETTA),2016-05-23,27 RUE SCHWEIGHAEUSER 67000 STRASBOURG,67000,STRASBOURG,67,,,,820933208,96.02B
Coiffure,COIFFURE AUTREMENT,2016-05-09,6 SQ DU COLLEGE CHAPUISIEN 74000 ANNECY,74000,ANNECY,74,,,,820203610,96.02A
Soins de beauté / esthétique,ASSA TRAORE (MY JOLYESS),2016-05-07,9 RUE DES FAUVETTES 91450 SOISY-SUR-SEINE,91450,SOISY-SUR-SEINE,91,,,,824692412,96.02B
Coiffure,LA BARBE DE PAPA 2,2016-03-24,3 BD CLAIRFONT BAT.A 66350 TOULOUGES,66350,TOULOUGES,66,,,,819283383,96.02A
"Entretien corporel (spa, hammam...)",MB FIT&FORM,2016-03-16,11 ALLEE RODIN 76620 LE HAVRE,76620,LE HAVRE,76,,,,819395781,96.04Z
Soins de beauté / esthétique,ELSA BABOLAT (DALLE RIVE) (ELSA CILS ELSA DERMO),2016-02-29,881 ROCADE DES PLAYES 83140 SIX-FOURS-LES-PLAGES,83140,SIX-FOURS-LES-PLAGES,83,,,,818794109,96.02B
Soins de beauté / esthétique,SAS BAB (SAS BAB),2016-02-11,16 RUE DES ARPENTS 76000 ROUEN,76000,ROUEN,76,,,,818388332,96.02B
Coiffure,INTPL,2015-11-01,14 RUE DE LA REMISE DES LILAS 60500 VINEUIL-SAINT-FIRMIN,60500,VINEUIL-SAINT-FIRMIN,60,,,,814555611,96.02A
"Entretien corporel (spa, hammam...)",SPA BY B,2015-10-07,VAL THORENS LES PIONNIERS NUMERO 33 73440 LES BELLEVILLE,73440,LES BELLEVILLE,73,,,,814176681,96.04Z
"Entretien corporel (spa, hammam...)",DEEP NATURE PREMIUM (DEEP NATURE PREMIUM),2015-09-15,VALLEE CHAMONIX MONT BLANC 1000 ROUTE DES CHAVANTS 74310 LES HOUCHES,74310,LES HOUCHES,74,,,,814072179,96.04Z
Soins de beauté / esthétique,NELLY PASA (NELLY PASA),2015-09-01,LD LE MARQUISAT 32600 L'ISLE-JOURDAIN,32600,L'ISLE-JOURDAIN,32,,,,813785706,96.02B
Soins de beauté / esthétique,NOO,2015-05-16,15 RUE FIZEAU 75015 PARIS,75015,PARIS,75,,,,811543313,96.02B
Coiffure,GH2015,2015-04-24,265 CHEMIN DE PEFOURQUE 82000 MONTAUBAN,82000,MONTAUBAN,82,,,,811104017,96.02A
Coiffure,TRIO,2015-04-01,22 RUE BREZIN 75014 PARIS,75014,PARIS,75,,,,809953441,96.02A
Soins de beauté / esthétique,ADS DC (ADS DC),2015-04-01,13 RUE NOTRE-DAME DE NAZARETH 75003 PARIS,75003,PARIS,75,,,,810429134,96.02B
