Secteur,Nom,Date création,Adresse,Code postal,Ville,Département,Téléphone,Email,Site web,SIREN,NAF
Coiffure,VIVIANE BARBE (BORDESSOULE),1998-01-01,78 GRAND RUE 47700 CASTELJALOUX,47700,CASTELJALOUX,47,,,,424369767,96.02A
Coiffure,SARL HARCLES,1997-12-01,25 RUE DES HOUCHES 89240 LINDRY,89240,LINDRY,89,,,,414435008,96.02A
Coiffure,GOMINA COIFFURE,1997-11-18,10 RUE CHENEDOLLE 14500 VIRE-NORMANDIE,14500,VIRE-NORMANDIE,14,,,,414781229,96.02A
Coiffure,SARL JELISA (ERIC STIPA),1997-11-01,44 BOULEVARD HEURTELOUP 37000 TOURS,37000,TOURS,37,,,,415109040,96.02A
"Entretien corporel (spa, hammam...)",FRANCK MAYMAT (BACHELET),1997-10-23,78 RUE DU MANS 53000 LAVAL,53000,LAVAL,53,,,,414115238,96.04Z
"Entretien corporel (spa, hammam...)",BEATRICE BONNEAU (BONNEAU BEATRICE),1997-10-06,LES TERRASSES D AEGYPTOS NUMERO 15 1 RUE D’ALEXANDRIE 16000 ANGOULEME,16000,ANGOULEME,16,,,,414197061,96.04Z
"Entretien corporel (spa, hammam...)",EURL FITNESS CENTER,1997-10-03,14 AVENUE DU MARECHAL MAUNOURY 41000 BLOIS,41000,BLOIS,41,,,,413615121,96.04Z
"Entretien corporel (spa, hammam...)",SANDRINE MAUREL,1997-09-01,THONES LE JEUNE 10 RUE DES PASTUREAUX 63320 GRANDEYROLLES,63320,GRANDEYROLLES,63,,,,413245465,96.04Z
Coiffure,SAND'COIFF,1997-08-01,3 B RUE DE LA CARTOUCHERIE 54150 LANTEFONTAINE,54150,LANTEFONTAINE,54,,,,413733809,96.02A
"Entretien corporel (spa, hammam...)",NADEGE BONNISSET,1997-07-17,2 RUE CARDINAL MERCIER 75009 PARIS,75009,PARIS,75,,,,413065244,96.04Z
"Entretien corporel (spa, hammam...)",HEALTH FORM COMPANY,1997-07-15,CHEZ ACCESS 3 RUE DE TEHERAN 75008 PARIS,75008,PARIS,75,,,,414372284,96.04Z
"Entretien corporel (spa, hammam...)",CELINE CARDONE MORELLINI (CARDONE),1997-07-01,14 AVENUE DE LINGENFELD 77200 TORCY,77200,TORCY,77,,,,413062787,96.04Z
Soins de beauté / esthétique,DAVID WATIN,1997-06-01,265 RUE JULES BARNI 80000 AMIENS,80000,AMIENS,80,,,,411122740,96.02B
Coiffure,SARL JEAN PACO,1997-05-11,30 RUE JOUFFROY D'ABBANS 75017 PARIS,75017,PARIS,75,,,,412058133,96.02A
Soins de beauté / esthétique,JCDA,1997-05-09,4 RUE DE SEZE 75009 PARIS,75009,PARIS,75,,,,413281494,96.02B
Soins de beauté / esthétique,SOPHIE TEIXEIRA (DOUJON) (L'ONGLERIE DE SOPHIE),1997-04-18,18 RUE GUDIN 45200 MONTARGIS,45200,MONTARGIS,45,,,,411765001,96.02B
Coiffure,SARL CONCEPT,1997-04-09,(2917 - 2921) 2917 AVENUE DE PETITE SYNTHE 59640 DUNKERQUE,59640,DUNKERQUE,59,,,,411792310,96.02A
Soins de beauté / esthétique,SOPHIE SOUBRIE,1997-04-02,LOCAL N 3 18 AV GEN DE GAULLE 33950 LEGE-CAP-FERRET,33950,LEGE-CAP-FERRET,33,,,,411785959,96.02B
Coiffure,JOSE GREGORIO DE ALMEIDA,1997-04-01,8 LES PROMENADES 81110 DOURGNE,81110,DOURGNE,81,,,,411448301,96.02A
Soins de beauté / esthétique,CORINNE MARCON,1997-04-01,RUE JOSEPH YVON 56590 GROIX,56590,GROIX,56,,,,411498702,96.02B
"Entretien corporel (spa, hammam...)",LORENE GIRARD,1997-03-18,15 RUE DES BARRIS 24570 CONDAT-SUR-VEZERE,24570,CONDAT-SUR-VEZERE,24,,,,411413891,96.04Z
"Entretien corporel (spa, hammam...)",CHANTAL RONGIER,1997-03-01,41 AVENUE DE LA GLOIRE 31500 TOULOUSE,31500,TOULOUSE,31,,,,411128986,96.04Z
Soins de beauté / esthétique,FREDERIC FAGOT,1997-02-10,15 C AVENUE DE GENEVE 74160 SAINT-JULIEN-EN-GENEVOIS,74160,SAINT-JULIEN-EN-GENEVOIS,74,,,,411150188,96.02B
Coiffure,B'COIF,1997-01-28,111 AVENUE GENERAL LECLERC 54000 NANCY,54000,NANCY,54,,,,411262439,96.02A
Coiffure,M'COIF,1997-01-28,GALERIE MARCHANDE LD MAISON ROUGE 57100 MANOM,57100,MANOM,57,,,,411426554,96.02A
Soins de beauté / esthétique,FANNY LE FUR,1997-01-23,4 ALLEE DU TROMEUR 29800 PLOUEDERN,29800,PLOUEDERN,29,,,,448357491,96.02B
Coiffure,G4L,1997-01-02,44 BOULEVARD HEURTELOUP 37000 TOURS,37000,TOURS,37,,,,411692940,96.02A
Coiffure,LAURENT RANDE,1996-12-03,93 RUE GEORGES LASSALLE 65000 TARBES,65000,TARBES,65,,,,409915998,96.02A
